index,Country,Year,Stunted,Caloric_intake,GDP_per_capita,Population,Underweight,Undernourished_People,Mortality_Rate,Prevalence of wasting,Death_Rate,Number_of_wasted_children,Number_of_food_insecure_people,GHI,GHI_Severity_lvl
142,Bhutan,2015,33.5,0.2581818181818182,9877.247,743284.0,12.7,233899999.99999997,3.3197646,5.9,0.68,3929.0,97900000.0,61.04200185560149,Extremely Alarming
143,Yemen,2015,46.5,0.41,18893.909880263156,28516552.0,37.7,11000000.0,6.0785785,14.85,4.79,696998.0,13000000.0,52.546271872381986,Extremely Alarming
144,North Korea,2015,23.5,0.26,18893.909880263156,25258012.0,12.25,10200000.0,2.1100001,3.2500000000000004,1.9,63901.0,97900000.0,18.246099806210292,Moderate
145,Pakistan,2015,42.06666666666666,0.24,4552.6055,210969296.0,28.76666666666667,25600000.0,7.617705,10.833333333333336,4.25,4167102.0,29600000.0,55.60563220794851,Extremely Alarming
146,Iran,2015,5.8,0.27,14010.858,81790848.0,4.199999999999999,5200000.0,1.5532366,4.15,0.33,243797.0,39200000.0,9.03090070633485,Low
147,Sri Lanka,2015,15.95,0.24,12420.553,21336692.0,23.3,1900000.0,0.8784128400000001,18.2,0.9,383878.0,1200000.0,21.443862792892453,Serious
148,Indonesia,2015,35.46666666666666,0.28,10121.841,259091968.0,18.733333333333334,18900000.0,2.7682626,12.0,16.82,3251343.0,15500000.0,33.98441179177025,Serious
149,Bangladesh,2015,35.019999999999996,0.26,4337.3857,157830000.0,29.82,23300000.0,3.7971585,13.279999999999998,3.2,2736572.0,50900000.0,39.508117192073165,Alarming
150,Myanmar,2015,28.049999999999997,0.28,3748.2942,51483956.0,18.8,2100000.0,5.178597,6.65,4.02,301969.0,15800000.0,33.697309296657274,Serious
151,Iraq,2015,17.35,0.38,9371.214,37757812.0,5.55,6500000.0,2.976198,4.75,0.35,322692.0,97900000.0,19.88314397880385,Moderate
152,Nepal,2015,36.2,0.26,3260.035,27610328.0,27.575,1700000.0,3.5529943000000004,11.025,6.07,352224.0,8199999.999999999,34.09943541694659,Serious
153,Syria,2015,27.9,0.26,18893.909880263156,19205178.0,10.4,2200000.0,4.18151,11.5,0.72,356298.0,97900000.0,33.710259273633916,Serious
154,Israel,2015,24.59379585326954,0.2,37321.016,8007777.0,16.111339712918664,233899999.99999997,0.39327282,8.522046783625731,0.34,25600142.0,900000.0,48.174902588269944,Alarming
155,Japan,2015,7.1,0.17,40402.582,127250936.0,3.4,3999999.9999999995,0.27595934,2.3,0.35,124400.0,3300000.0,2.8656846154609945,Low
156,Mongolia,2015,10.7,0.25,11134.802,2964756.0,1.875,200000.0,1.9427027,1.175,0.01,4637.0,200000.0,9.365815798640451,Low
157,Yemen,2016,46.5,0.41,18893.909880263156,29274010.0,37.7,12300000.0,6.0459404,14.85,4.6,696998.0,14500000.0,52.603905900588856,Extremely Alarming
